index,song_name,artist_name,album_names,song_popularity,song_duration_ms,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,audio_mode,speechiness,tempo,time_signature,audio_valence,id,link
56,Remedy,Seether,Karma and Effect,0.7000000000000001,0.10921947960831313,0.00018,0.546,0.9590000000000001,0.00144,0.7272727272727273,0.0584,0.8451416251579809,1,0.08199999999999999,0.5275340668047772,0.8,0.41600000000000004,RemedySeether,
57,Plug In Baby,Muse,Origin Of Symmetry,0.65,0.11525468487914485,6.94e-06,0.408,0.965,0.00040199999999999996,0.18181818181818185,0.11,0.8558471489108617,1,0.05,0.5613202485989485,0.8,0.349,Plug In BabyMuse,
58,Change (In the House of Flies) - In The House Of Flies LP Version,Deftones,White Pony (U.S. Version),0.6900000000000001,0.16087148207453958,0.00024900000000000004,0.26899999999999996,0.853,0.000246,0.6363636363636364,0.11800000000000001,0.8455629073427007,0,0.0854,0.5842776846953179,0.8,0.179,Change (In the House of Flies) - In The House Of Flies LP VersionDeftones,
59,Judith,A Perfect Circle,Mer De Noms,0.66,0.13162868297464508,3.32e-05,0.365,0.894,0.171,1.0,0.267,0.8446955616682774,0,0.0572,0.3396569796713409,0.6000000000000001,0.31,JudithA Perfect Circle,
60,MIA (feat. Drake),Bad Bunny,MIA (feat. Drake),0.94,0.11098410716223944,0.0143,0.818,0.54,0.000512,0.5454545454545454,0.099,0.8033603449557654,0,0.0544,0.4005645474129037,0.8,0.174,MIA (feat. Drake)Bad Bunny,
61,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",0.98,0.11217749669062398,0.153,0.841,0.7979999999999999,3.33e-06,0.09090909090909093,0.0618,0.8564914628404332,0,0.22899999999999998,0.3959590290444787,0.8,0.591,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)DJ Snake",
62,White Boi,Dillon Francis,WUT WUT,0.59,0.09694933157877658,0.0983,0.83,0.4970000000000001,0.0,0.09090909090909093,0.0906,0.7887393750154883,1,0.052000000000000005,0.528087059153674,0.8,0.634,White BoiDillon Francis,
63,Just Wanna Love You (feat. J. Balvin),Cris Cab,Just Wanna Love You (feat. J. Balvin),0.73,0.10475308082486548,0.0557,0.687,0.7659999999999999,0.00107,1.0,0.146,0.8100512973013159,1,0.054000000000000006,0.3919353906849677,0.8,0.303,Just Wanna Love You (feat. J. Balvin)Cris Cab,
64,Beautiful (feat. Camila Cabello),Bazzi,Beautiful (feat. Camila Cabello),0.94,0.09399411194027346,0.34600000000000003,0.638,0.7170000000000001,0.0,0.18181818181818185,0.105,0.8437043094689366,1,0.0337,0.4127922812172434,0.8,0.249,Beautiful (feat. Camila Cabello)Bazzi,
65,Celoso,Lele Pons,Celoso,0.87,0.09382234889047784,0.35200000000000004,0.746,0.703,0.0,0.3636363636363637,0.331,0.8571605580749883,0,0.107,0.6852276760290197,0.8,0.667,CelosoLele Pons,
